Day,Date,Open,High,Low,Close,Adj Close,Volume
1, 2/1/2020  ,158.779999,160.729996,158.330002,160.619995,156.924408,22622100
2, 3/1/2020  ,158.320007,159.949997,158.059998,158.619995,154.970398,21116200
3, 6/1/2020  ,157.080002,159.100006,156.509995,159.029999,155.370972,20813700
4, 7/1/2020  ,159.320007,159.669998,157.320007,157.580002,153.954315,21634100
5, 8/1/2020  ,158.929993,160.800003,157.949997,160.089996,156.406601,27746500
6, 9/1/2020  ,161.839996,162.220001,161.029999,162.089996,158.360565,21385000
7, 10/1/2020 ,162.820007,163.220001,161.179993,161.339996,157.627808,20725900
8, 13/1/2020 ,161.759995,163.309998,161.259995,163.279999,159.523193,21626500
9, 14/1/2020 ,163.389999,163.600006,161.720001,162.130005,158.399643,23477400
10, 15/1/2020 ,162.619995,163.940002,162.570007,163.179993,159.425491,21417900
11, 16/1/2020 ,164.350006,166.240005,164.029999,166.169998,162.34668,23865400
12, 17/1/2020 ,167.419998,167.470001,165.429993,167.100006,163.255325,34371700
13, 21/1/2020 ,166.679993,168.190002,166.429993,166.5,162.669098,29517200
14, 22/1/2020 ,167.399994,167.490005,165.679993,165.699997,161.887482,24138800
15, 23/1/2020 ,166.190002,166.800003,165.270004,166.720001,162.884018,19680800
16, 24/1/2020 ,167.509995,167.529999,164.449997,165.039993,161.242706,24918100
17, 27/1/2020 ,161.149994,163.380005,160.199997,162.279999,158.546219,32078100
18, 28/1/2020 ,163.779999,165.759995,163.070007,165.460007,161.653015,24899900
19, 29/1/2020 ,167.839996,168.75,165.690002,168.039993,164.17366,34754500
20, 30/1/2020 ,174.050003,174.050003,170.789993,172.779999,168.804611,51597500
21, 31/1/2020 ,172.210007,172.399994,169.580002,170.229996,166.313278,36142700
22, 3/2/2020  ,170.429993,174.5,170.399994,174.380005,170.367798,30107000
23, 4/2/2020  ,177.139999,180.639999,176.309998,180.119995,175.975723,36433300
24, 5/2/2020  ,184.029999,184.199997,178.410004,179.899994,175.760788,39186300
25, 6/2/2020  ,180.970001,183.820007,180.059998,183.630005,179.404968,27751400
26, 7/2/2020  ,182.850006,185.630005,182.479996,183.889999,179.658951,33529100
27, 10/2/2020 ,183.580002,188.839996,183.25,188.699997,184.358322,35844300
28, 11/2/2020 ,190.649994,190.699997,183.5,184.440002,180.196365,53159900
29, 12/2/2020 ,185.580002,185.850006,181.850006,184.710007,180.460114,47062900
30, 13/2/2020 ,183.080002,186.229996,182.869995,183.710007,179.483154,35295800
31, 14/2/2020 ,183.25,185.410004,182.649994,185.350006,181.085419,23149500
32, 18/2/2020 ,185.610001,187.699997,185.5,187.229996,182.92215,27792200
33, 19/2/2020 ,188.059998,188.179993,186.470001,187.279999,183.470749,29997500
34, 20/2/2020 ,186.949997,187.25,181.100006,184.419998,180.668945,36862400
35, 21/2/2020 ,183.169998,183.5,177.25,178.589996,174.957474,48572600
36, 24/2/2020 ,167.770004,174.550003,163.229996,170.889999,167.414108,68311100
37, 25/2/2020 ,174.199997,174.839996,167.649994,168.070007,164.651489,68073300
38, 26/2/2020 ,169.710007,173.259995,168.210007,170.169998,166.708755,56206100
39, 27/2/2020 ,163.320007,167.029999,157.979996,158.179993,154.962631,93174900
40, 28/2/2020 ,152.410004,163.710007,152,162.009995,158.714722,97012700
41, 2/3/2020  ,165.309998,172.919998,162.309998,172.789993,169.275482,71030800
42, 3/3/2020  ,173.800003,175,162.259995,164.509995,161.163864,71677000
43, 4/3/2020  ,168.490005,170.699997,165.619995,170.550003,167.081024,49814400
44, 5/3/2020  ,166.050003,170.869995,165.690002,166.270004,162.888062,47817300
45, 6/3/2020  ,162.610001,163.110001,156,161.570007,158.283707,72821100
46, 9/3/2020  ,151,157.75,150,150.619995,147.556396,70419300
47, 10/3/2020 ,158.160004,161.029999,152.580002,160.919998,157.646927,65354400
48, 11/3/2020 ,157.130005,157.699997,151.149994,153.630005,150.505203,56371600
49, 12/3/2020 ,145.300003,153.470001,138.580002,139.059998,136.231537,93226400
50, 13/3/2020 ,147.5,161.910004,140.729996,158.830002,155.599411,92727400
51, 16/3/2020 ,140,149.350006,135,135.419998,132.665588,87905900
52, 17/3/2020 ,140,147.5,135,146.570007,143.588776,81059800
53, 18/3/2020 ,138,146,135.020004,140.399994,137.544296,81593200
