Date,Property_Type,Project_Name,Unit_Price,Area
May-18,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1022.00,4255.01
May-18,Terrace House,GEYLANG CONSERVATION AREA,1573.00,1494.04
Jun-18,Semi-Detached House,KIMNAN PARK,1158.00,3368.06
Jun-18,Semi-Detached House,SIN CHUAN GARDEN,1071.00,3548.89
Jun-18,Terrace House,LANDED HOUSING DEVELOPMENT,69.00,725.49
Jun-18,Terrace House,LANDED HOUSING DEVELOPMENT,1177.00,2438.05
Jun-18,Terrace House,LANDED HOUSING DEVELOPMENT,1606.00,2378.84
Jun-18,Terrace House,LANDED HOUSING DEVELOPMENT,1461.00,1984.88
Jun-18,Terrace House,LANDED HOUSING DEVELOPMENT,2152.00,1658.73
Jul-18,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1131.00,3342.22
Jul-18,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1103.00,3262.57
Jul-18,Terrace House,KIMNAN PARK,1134.00,1852.48
Jul-18,Terrace House,LANDED HOUSING DEVELOPMENT,1055.00,2937.50
Jul-18,Terrace House,LANDED HOUSING DEVELOPMENT,1317.00,1655.50
Aug-18,Detached House,LANDED HOUSING DEVELOPMENT,1096.00,5002.03
Aug-18,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1041.00,3772.78
Aug-18,Terrace House,SIN CHUAN GARDEN,1389.00,1871.86
Aug-18,Terrace House,LANDED HOUSING DEVELOPMENT,1444.00,1488.66
Aug-18,Terrace House,LANDED HOUSING DEVELOPMENT,2067.00,1621.06
Sep-18,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1134.00,3463.86
Sep-18,Terrace House,YONG SENG ESTATE,1750.00,1885.85
Sep-18,Terrace House,LANDED HOUSING DEVELOPMENT,1385.00,1805.12
Sep-18,Terrace House,SANTA TERRACES,1191.00,2980.55
Oct-18,Semi-Detached House,LANDED HOUSING DEVELOPMENT,758.00,5609.12
Oct-18,Terrace House,LANDED HOUSING DEVELOPMENT,1660.00,2361.62
Oct-18,Terrace House,LANDED HOUSING DEVELOPMENT,968.00,3098.96
Nov-18,Detached House,LANDED HOUSING DEVELOPMENT,1008.00,6252.81
Nov-18,Detached House,FRANKEL ESTATE,836.00,4699.56
Nov-18,Terrace House,LANDED HOUSING DEVELOPMENT,1455.00,1717.93
Nov-18,Terrace House,LANDED HOUSING DEVELOPMENT,1086.00,2413.29
Nov-18,Terrace House,LANDED HOUSING DEVELOPMENT,1668.00,2416.52
Nov-18,Terrace House,LANDED HOUSING DEVELOPMENT,895.00,2179.71
Nov-18,Terrace House,LANDED HOUSING DEVELOPMENT,1479.00,1528.49
Nov-18,Terrace House,LANDED HOUSING DEVELOPMENT,1685.00,1661.96
Dec-18,Detached House,KEMBANGAN ESTATE,793.00,4538.10
Dec-18,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1030.00,3253.96
Dec-18,Terrace House,LANDED HOUSING DEVELOPMENT,1190.00,1706.09
Dec-18,Terrace House,LANDED HOUSING DEVELOPMENT,1542.00,1767.45
Feb-19,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1110.00,3828.75
Feb-19,Terrace House,LANDED HOUSING DEVELOPMENT,1279.00,1969.81
Mar-19,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1167.00,3084.96
Mar-19,Semi-Detached House,KEMBANGAN ESTATE,1002.00,3192.60
Mar-19,Terrace House,LANDED HOUSING DEVELOPMENT,1254.00,1806.20
Mar-19,Terrace House,KIMNAN PARK,1039.00,2694.23
Apr-19,Semi-Detached House,YONG SENG ESTATE,1468.00,2247.52
Apr-19,Terrace House,KEMBANGAN ESTATE,1617.00,1824.50
Apr-19,Terrace House,LANDED HOUSING DEVELOPMENT,1382.00,1664.11
